pp,group,random_slider.response,educated_slider.response,bias,bias_select,comment,age,mothertongue,gender,handedness,datastorage,duration_que,duration_study
101,control,10,10,10,high numbers,i understood it perfectly,22,English,Cis male,ambidextrous,1,4.98333333333333,111.883333333333
103,control,0,1,10,high numbers,no comments,19,English,Cis female,right-handed,1,3.48333333333333,124.316666666667
104,guess,10,8,10,high numbers,I felt the task was quite lengthy,23,English,Cis female,ambidextrous,1,8.55,101.15
109,control,0,0,5,low numbers,The study was insightful,19,English,Cis female,right-handed,1,6.53333333333333,102.85
112,guess,3,8,10,high numbers,no,23,English,Cis male,right-handed,1,6.91666666666667,104.4
114,guess,10,3,9,low numbers,"No. The instructions were clear. However, the study would have been more interestingly challenging if each round was timed.",24,English,Cis male,right-handed,1,17.4166666666667,98.8666666666667
118,guess,4,8,8,high numbers,none,23,English,Cis male,right-handed,1,6.9,115.416666666667
119,control,1,2,7,high numbers,,30,English,Cis male,right-handed,1,2.5,52.3
120,guess,3,8,6,low numbers,I quickly understood the task and was able to catch on and proceed quickly. Thank you.,26,English,Cis male,right-handed,1,6.1,44.1166666666667
122,guess,8,6,4,high numbers,,18,English,Cis male,right-handed,1,5.66666666666667,38.2166666666667
124,guess,2,8,10,high numbers,no,33,English,Cis female,mixed-handed,1,7.31666666666667,62.3166666666667
125,control,3,3,9,high numbers,no,27,English,Cis female,right-handed,1,4.25,111.266666666667
126,guess,0,10,10,high numbers,,33,English,Cis female,right-handed,1,5.05,40.25
128,guess,3,7,5,high numbers,Everything went pefect,26,English,Cis female,right-handed,1,20.0333333333333,107.666666666667
131,control,2,7,9,high numbers,I do not have any current further comments.,28,English,Cis male,right-handed,1,3.58333333333333,38.9166666666667
132,guess,1,9,7,high numbers,"No, I do not have any further comments. Thank you!",25,English,Cis male,right-handed,1,10.8833333333333,45.5833333333333
135,control,7,7,9,high numbers,None.,33,English,Cis female,right-handed,1,2.66666666666667,43.6
137,control,2,4,8,high numbers,no,34,English,Cis male,right-handed,1,3.75,44.0166666666667
138,guess,9,1,5,high numbers,No,34,English,Cis female,right-handed,1,3.86666666666667,43.3666666666667
141,control,0,1,1,,NO,30,English,Cis male,right-handed,1,3.83333333333333,72.9166666666667
142,guess,2,5,10,high numbers,no everything was pretty clear and everything ran with no issues thanks!!!,23,English,Cis male,right-handed,1,12.0,113.383333333333
144,guess,1,9,9,high numbers,No,18,English,Cis female,right-handed,1,11.95,125.6
145,control,4,6,8,high numbers,no,25,English,Cis male,right-handed,1,7.4,54.0333333333333
146,guess,2,9,8,high numbers,No,26,English,Cis male,right-handed,1,8.08333333333333,58.9666666666667
147,control,1,3,10,high numbers,"No, I have no further comments",18,English,Cis female,right-handed,1,4.65,97.2833333333333
149,control,1,2,5,high numbers,"no,it was educational",22,English,Cis female,right-handed,1,7.23333333333333,56.9666666666667
15,control,1,1,4,high numbers,"it was a good study but a long one

",21,English,Trans* man,left-handed,1,7.7,78.6
